t,minima,maxima,minima_index,maxima_index,curvature_minima,curvature_maxima,mean_surface_height
3.1,0.110601547724224,0.255501547724224,242,557,0.0674942687236959,-0.0148403338824101,0.267113290540825
8.4,0.115701547724224,0.152801547724224,273,375,0.10060147708102,-0.0848095423422693,0.377960027353002
13.6,0.121,0.121,,,,,0.300071313391593
18.8,,,,,,,0.326299973279472
24.1,,,,,,,0.206204790009747
29.3,,,,,,,0.347057931608389
34.5,,,,,,,0.357448287378171
39.8,,,,,,,0.366767084134599
45,,,,,,,0.354996725724142
50.2,,,,,,,0.337976014540463
55.5,,,,,,,0.333137723126054
60.7,,,,,,,0.34742540705701
65.9,,,,,,,0.337001653457014
71.2,,,,,,,0.317879770964004
76.4,,,,,,,0.332447453686054
81.6,,,,,,,0.331639208920555
86.9,,,,,,,0.328998140479278
92.1,,,,,,,0.32137895139038
97.3,,,,,,,0.353768241135555
102.6,,,,,,,0.317566431850803
107.8,,,,,,,0.314911873440898
