t,minima,maxima,minima_index,maxima_index,curvature_minima,curvature_maxima,mean_surface_height
0.7,0.4994581586826347,0.4991581586826347,907,925,0.006839650342644998,-0.006893292323055883,0.3497603467273391
6.1,0.1092581586826347,0.3995581586826347,252,951,0.06089341066263083,-0.009647638968632155,0.28926122894719675
11.6,0.1159581586826347,0.3240581586826347,332,992,0.05672119390402307,-0.009625727870511237,0.29074955447270695
17.0,0.1154581586826347,0.2779581586826347,367,997,0.03445920959680572,-0.01481121345164275,0.2936368590040379
22.5,0.1133581586826347,0.2454581586826347,411,1002,0.03170800057259189,-0.013093406660015567,0.29384112578155525
27.9,0.1110581586826347,0.2239581586826347,428,999,0.028413934741835664,-0.01841092416773945,0.2931710235626361
33.4,0.1118581586826347,0.2062581586826347,449,1001,0.011427261702215877,-0.012224899985212607,0.2933745939572207
38.8,0.1102581586826347,0.1924581586826347,467,1003,0.011532733278643783,-0.014811236344696737,0.2938515658071715
44.3,0.1095581586826347,0.1817581586826347,484,1003,0.012623057601796241,-0.010924384751394341,0.2911601553703902
49.7,0.1079581586826347,0.1714581586826347,511,1057,0.00951810694674203,-0.004431693675456035,0.28980255147386386
