h0,h,liquid
0.377,0.1334778334945357,beet
0.383,0.1383656388302932,beet
0.389,0.1426431618444966,beet
0.39599999999999996,0.1484900121626104,beet
0.402,0.154031695044281,beet
0.40900000000000003,0.1596670211533908,beet
0.416,0.1658406614726038,beet
0.422,0.1716116898357223,beet
0.429,0.1783355286447999,beet
0.43600000000000005,0.1848093191925474,beet
0.444,0.193053585514249,beet
0.451,0.2003403769467515,beet
0.458,0.2073958829286626,beet
0.46599999999999997,0.2163125939745164,beet
0.47300000000000003,0.2239269484080305,beet
0.481,0.2328540666214247,beet
0.48899999999999993,0.2425381987764092,beet
0.49700000000000005,0.2519293510503282,beet
0.505,0.2616694080421707,beet
0.513,0.2721005775745907,beet
0.522,0.2831919165766388,beet
0.53,0.2937136099943261,beet
0.539,0.3056054766453585,beet
0.5479999999999999,0.3176445971228443,beet
0.5569999999999999,0.3300073485940248,beet
0.566,0.3421510777351524,beet
0.575,0.3548693902903325,beet
0.585,0.3685223083672117,beet
0.594,0.3813363873754876,beet
0.6040000000000001,0.3951593046377503,beet
0.614,0.4096005900083983,beet
0.624,0.4236533879913907,beet
0.634,0.4381351327515115,beet
0.6449999999999999,0.4537055480184094,beet
0.655,0.4681485320487124,beet
0.666,0.4838145447815912,beet
0.6769999999999999,0.4995218964477625,beet
0.6880000000000001,0.51536391340994,beet
0.699,0.5307745239734254,beet
0.7110000000000001,0.5477064993928663,beet
0.722,0.5630563621278448,beet
0.734,0.5796363657961456,beet
0.746,0.5961226276699647,beet
0.759,0.613851926972793,beet
0.771,0.6298628731994527,beet
0.784,0.6469976677516343,beet
0.796,0.6626607586663359,beet
0.809,0.6794008038328478,beet
0.823,0.6970595042568279,beet
0.8360000000000001,0.7134336422016502,beet
0.85,0.7302919794480816,beet
0.864,0.7471864093713289,beet
0.878,0.7637155119121062,beet
0.892,0.7800193675941538,beet
0.907,0.7972149736426813,beet
0.9219999999999999,0.8140967860354498,beet
0.937,0.8307043693145981,beet
0.9520000000000001,0.8470677800502269,beet
0.968,0.8642102399200257,beet
0.9840000000000001,,beet
1.0,,beet
0.2,,vinegar
0.203,,vinegar
0.207,,vinegar
0.21000000000000002,0.0483067120905395,vinegar
0.213,0.0512047885079254,vinegar
0.217,0.053233639712871,vinegar
0.22,0.0544560906503701,vinegar
0.224,0.0571949375652974,vinegar
0.228,0.0605135053704369,vinegar
0.232,0.0649567382638525,vinegar
0.235,0.0661004801592176,vinegar
0.23900000000000002,0.067639566216317,vinegar
0.243,0.0697176534978091,vinegar
0.247,0.0722553707354741,vinegar
0.251,0.0751922252012038,vinegar
0.255,0.0788856916821625,vinegar
0.259,0.0822251300984375,vinegar
0.264,0.0844154498768991,vinegar
0.268,0.0866903009231822,vinegar
0.272,0.0893796832291477,vinegar
0.277,0.0932991105780357,vinegar
0.281,0.0968963473237454,vinegar
0.28600000000000003,0.1008910014109252,vinegar
0.29100000000000004,0.1036731623122584,vinegar
0.29500000000000004,0.1062527613178447,vinegar
0.3,0.1103508675079995,vinegar
0.305,0.1146913909261928,vinegar
0.31,0.119501658523872,vinegar
0.315,0.122802886040902,vinegar
0.32,0.1263329862795917,vinegar
0.326,0.1311453589200612,vinegar
0.331,0.1356558467467365,vinegar
0.33599999999999997,0.1406213088972228,vinegar
0.342,0.1450298241403119,vinegar
0.348,0.1498102934129905,vinegar
0.35300000000000004,0.154230336301977,vinegar
0.359,0.1599540637200378,vinegar
0.365,0.1655829336983449,vinegar
0.371,0.1704623322599319,vinegar
0.377,0.1758836171836974,vinegar
0.383,0.1817918370298567,vinegar
0.389,0.1880469986251481,vinegar
0.39599999999999996,0.1941656761850626,vinegar
0.402,0.1998475540168307,vinegar
0.40900000000000003,0.2069835340374095,vinegar
0.416,0.2142667678110064,vinegar
0.422,0.2200057452143882,vinegar
0.429,0.2269818905596287,vinegar
0.43600000000000005,0.2344981358391757,vinegar
0.444,0.2427613163455971,vinegar
0.451,0.2493046775794039,vinegar
0.458,0.2569146670593278,vinegar
0.46599999999999997,0.2658114864910516,vinegar
0.47300000000000003,0.2730508457050573,vinegar
0.481,0.2818722679603096,vinegar
0.48899999999999993,0.2913751459347758,vinegar
0.49700000000000005,0.3004099810843927,vinegar
0.505,0.3095200679236191,vinegar
0.513,0.319138041112721,vinegar
0.522,0.3301610170429725,vinegar
0.53,0.3394731749934741,vinegar
0.539,0.3505554956158862,vinegar
0.5479999999999999,0.3619832581419084,vinegar
0.5569999999999999,0.3731072636806858,vinegar
0.566,0.384534368222259,vinegar
0.575,0.3962059722010476,vinegar
0.585,0.409096648757039,vinegar
0.594,0.4207903154902628,vinegar
0.6040000000000001,0.4340354392954087,vinegar
0.614,0.4472989172796771,vinegar
0.624,0.4603109967411349,vinegar
0.634,0.4737818841132508,vinegar
0.6449999999999999,0.488455056835347,vinegar
0.655,0.5017848035026717,vinegar
0.666,0.5166927244513663,vinegar
0.6769999999999999,0.5314720606568968,vinegar
0.6880000000000001,0.5463234685366322,vinegar
0.699,0.5615749392122785,vinegar
0.7110000000000001,0.5777183523574869,vinegar
0.722,0.5926086471268316,vinegar
0.734,0.6089552545792732,vinegar
0.746,0.6249980754443718,vinegar
0.759,0.6425483277967241,vinegar
0.771,0.6584981225778171,vinegar
0.784,0.6757385925998575,vinegar
0.796,0.6915685224506242,vinegar
0.809,0.7085817419673801,vinegar
0.823,0.7268249330891314,vinegar
0.8360000000000001,0.7435222900146109,vinegar
0.85,0.761376037738409,vinegar
0.864,0.7790805445258364,vinegar
0.878,0.7967192121674123,vinegar
0.892,0.8140891090630665,vinegar
0.907,0.8326255522467936,vinegar
0.9219999999999999,0.8508894151933555,vinegar
0.937,0.8690411861001318,vinegar
0.9520000000000001,0.8869313814460341,vinegar
0.968,0.9058329924965786,vinegar
0.9840000000000001,0.9245507478280376,vinegar
1.0,0.9430616380656424,vinegar
0.2,,gw20
0.203,,gw20
0.207,,gw20
0.21000000000000002,,gw20
0.213,,gw20
0.217,,gw20
0.22,,gw20
0.224,,gw20
0.228,,gw20
0.232,,gw20
0.235,0.027695276074618,gw20
0.23900000000000002,0.0292806748131637,gw20
0.243,0.0299543501471705,gw20
0.247,0.0321003613924319,gw20
0.251,0.03499600234968,gw20
0.255,0.0356094825059313,gw20
0.259,0.0371609617358687,gw20
0.264,0.0404784004422831,gw20
0.268,0.0422792539963173,gw20
0.272,0.0434448170175123,gw20
0.277,0.0462284260223655,gw20
0.281,0.0496086419549384,gw20
0.28600000000000003,0.0512688453451208,gw20
0.29100000000000004,0.0541786155919749,gw20
0.29500000000000004,0.0575841458082806,gw20
0.3,0.0600059595676402,gw20
0.305,0.06325376392205,gw20
0.31,0.0675321808250661,gw20
0.315,0.0707533653754749,gw20
0.32,0.0742173649175331,gw20
0.326,0.078745034528796,gw20
0.331,0.0824951990700978,gw20
0.33599999999999997,0.0869735922214423,gw20
0.342,0.0914466104892215,gw20
0.348,0.0971601563146313,gw20
0.35300000000000004,0.1011729846829612,gw20
0.359,0.1071726990625139,gw20
0.365,0.1125711927999316,gw20
0.371,0.118554728815448,gw20
0.377,0.1246163490238273,gw20
0.383,0.1307338926827673,gw20
0.389,0.1375545007101336,gw20
0.39599999999999996,0.1449010309315108,gw20
0.402,0.1514862817559547,gw20
0.40900000000000003,0.1597795488411939,gw20
0.416,0.1680657050396027,gw20
0.422,0.1750009786650685,gw20
0.429,0.1835261868655592,gw20
0.43600000000000005,0.1922719494336332,gw20
0.444,0.2023133220371911,gw20
0.451,0.2112727498668231,gw20
0.458,0.2200688787697648,gw20
0.46599999999999997,0.2302349147971557,gw20
0.47300000000000003,0.2391517457456691,gw20
0.481,0.2493404617667447,gw20
0.48899999999999993,0.2595149351220275,gw20
0.49700000000000005,0.2695625073571496,gw20
0.505,0.2796361832279775,gw20
0.513,0.2894529198492874,gw20
0.522,0.3003185740235271,gw20
0.53,0.3098209944403948,gw20
0.539,0.3202729301366379,gw20
0.5479999999999999,0.3305498058940941,gw20
0.5569999999999999,0.3405440384208699,gw20
0.566,0.3502744903306369,gw20
0.575,0.3597930940854004,gw20
0.585,0.3699801938314389,gw20
0.594,0.3789211996665799,gw20
0.6040000000000001,0.3884945847124505,gw20
0.614,0.3975727968005705,gw20
0.624,,gw20
0.634,,gw20
0.6449999999999999,,gw20
0.655,,gw20
0.666,,gw20
0.6769999999999999,,gw20
0.6880000000000001,,gw20
0.699,,gw20
0.7110000000000001,,gw20
0.722,,gw20
0.734,,gw20
0.746,,gw20
0.759,,gw20
0.771,,gw20
0.784,,gw20
0.796,,gw20
0.809,,gw20
0.823,,gw20
0.8360000000000001,,gw20
0.85,,gw20
0.864,,gw20
0.878,,gw20
0.892,,gw20
0.907,,gw20
0.9219999999999999,,gw20
0.937,,gw20
0.9520000000000001,,gw20
0.968,,gw20
0.9840000000000001,,gw20
1.0,,gw20
0.2,,gw40
0.203,,gw40
0.207,,gw40
0.21000000000000002,,gw40
0.213,,gw40
0.217,,gw40
0.22,0.0121950809014249,gw40
0.224,,gw40
0.228,,gw40
0.232,0.0307500138145428,gw40
0.235,0.0322496263399783,gw40
0.23900000000000002,0.0310711307178392,gw40
0.243,0.0329806775605767,gw40
0.247,0.0355954237295296,gw40
0.251,0.0359185902185738,gw40
0.255,0.0368803549374852,gw40
0.259,0.0385821773091854,gw40
0.264,0.0420197702405498,gw40
0.268,0.0428101813853643,gw40
0.272,0.0438325664741383,gw40
0.277,0.0459820100884208,gw40
0.281,0.0484499336259212,gw40
0.28600000000000003,0.0509716379189734,gw40
0.29100000000000004,0.0525619713162833,gw40
0.29500000000000004,0.0544348139224063,gw40
0.3,0.0577246074497459,gw40
0.305,0.0604890791475483,gw40
0.31,0.0625480211962567,gw40
0.315,0.0654994616759701,gw40
0.32,0.0693824357782151,gw40
0.326,0.0723311487701823,gw40
0.331,0.0754159411048771,gw40
0.33599999999999997,0.0794284535354688,gw40
0.342,0.0836617900235758,gw40
0.348,0.0879318539934109,gw40
0.35300000000000004,0.0921669095338362,gw40
0.359,0.096707738810667,gw40
0.365,0.1013573816375894,gw40
0.371,0.1072581148871262,gw40
0.377,0.1119095595694885,gw40
0.383,0.1175604000645684,gw40
0.389,0.1234997406879571,gw40
0.39599999999999996,0.1299773647023172,gw40
0.402,0.1365178992128636,gw40
0.40900000000000003,0.1433688546006104,gw40
0.416,0.1510531724399875,gw40
0.422,0.1570885269907499,gw40
0.429,0.1651025577860312,gw40
0.43600000000000005,0.1725796768205842,gw40
0.444,0.1821225271459892,gw40
0.451,0.1903362846607545,gw40
0.458,0.198972907364026,gw40
0.46599999999999997,0.2090744840977049,gw40
0.47300000000000003,0.2174754326610495,gw40
0.481,0.227865327004803,gw40
0.48899999999999993,0.2387243486733624,gw40
0.49700000000000005,0.248997805512096,gw40
0.505,0.2596426392619431,gw40
0.513,0.2706246463319346,gw40
0.522,0.2829077391577305,gw40
0.53,0.2935058867594216,gw40
0.539,0.3056784764807622,gw40
0.5479999999999999,0.31788209643446,gw40
0.5569999999999999,0.3300613398796017,gw40
