,name,h0,h0ext,t,liquid,date,L
0,PB_S10_trial1,0.28,0.194688192007047,14.542,water,2024-06-21,21.0576
1,PB_S10_trial1,0.324,0.288168874766172,0.0,water,2024-06-21,20.8222
2,PB_S10_trial1,0.377,0.306465680033344,3.91,water,2024-06-21,23.2404
3,PB_S10_trial1,0.529,0.447355438248009,0.0,water,2024-06-21,21.6996
4,PB_S10_trial2,0.274,0.180172597588046,11.971,water,2024-06-21,13.4392
5,PB_S10_trial2,0.38,0.19851196579339,0.0,water,2024-06-21,17.012999999999998
6,PB_S10_trial2,0.443,0.37089690875609,0.0,water,2024-06-21,19.6666
7,PB_S10_trial2,0.479,0.358024760146092,0.0,water,2024-06-21,21.2716
8,PB_S10_trial2,0.667,0.741886785154238,0.0,water,2024-06-21,19.9662
9,PB_S10_trial3,0.4,0.302987145200106,0.0,water,2024-06-21,15.2796
10,PB_S10_trial3,0.49,0.287671056314669,0.0,water,2024-06-21,16.264
11,PB_S10_trial3,0.81,0.459103057272852,0.0,water,2024-06-21,18.2114
12,beet_juice_1,0.263,0.267750272454221,34.573,beet,2024-08-08,13.2066
13,beet_juice_1,0.32,0.327526204450858,4.198,beet,2024-08-08,13.3806
14,beet_juice_1,0.368,0.607522015702646,0.0,beet,2024-08-08,10.4226
15,beet_juice_2,0.266,0.391225127202561,0.0,beet,2024-08-08,12.7542
16,beet_juice_2,0.308,0.413590148832395,0.0,beet,2024-08-08,13.9026
17,beet_juice_2,0.443,0.658692453759711,0.0,beet,2024-08-08,12.5454
18,beet_juice_3,0.209,0.298807622940226,102.7,beet,2024-08-08,14.8944
19,beet_juice_3,0.219,0.381658975875768,7.072,beet,2024-08-08,13.659
20,beet_juice_3,0.246,0.400098389010857,0.0,beet,2024-08-08,13.1022
21,beet_juice_3,0.278,0.360850206413682,0.0,beet,2024-08-08,15.921
22,beet_juice_3,0.314,0.523090909846857,0.0,beet,2024-08-08,14.180999999999996
23,beetjuice_1,0.116,0.0996457210641357,118.3,beet,2024-08-21,14.528999999999998
24,beetjuice_1,0.348,0.389340137740055,0.0,beet,2024-08-21,14.5638
25,beetjuice_2,0.278,0.279760486949634,83.637,beet,2024-08-21,13.3458
26,beetjuice_2,0.346,0.376439341586433,0.0,beet,2024-08-21,12.301799999999998
27,beetjuice_2,0.426,0.501049128587098,0.0,beet,2024-08-21,12.788999999999998
28,beetjuice_2,0.517,0.664136289097719,0.0,beet,2024-08-21,11.6058
29,beetjuice_2,0.8,0.811771367610745,0.0,beet,2024-08-21,11.4666
30,beetjuice_3,0.202,0.229677093137898,102.7,beet,2024-08-21,13.7982
31,beetjuice_3,0.305,0.210294320882818,113.1,beet,2024-08-21,16.025399999999998
32,beetjuice_3,0.394,0.373054413773214,0.0,beet,2024-08-21,14.842199999999998
33,beetjuice_3,0.492,0.560093718357898,0.0,beet,2024-08-21,13.8678
34,beetjuice_3,0.682,0.683430088857699,0.0,beet,2024-08-21,16.7214
35,beetjuice_4,0.268,0.206304541386166,102.4,beet,2024-08-21,10.3878
36,beetjuice_4,0.369,0.404475156593753,0.0,beet,2024-08-21,12.701999999999998
37,vinegar_1,0.31,0.256776689620175,6.884,vinegar,2024-08-21,15.6774
38,vinegar_1,0.361,0.259409004855696,3.4,vinegar,2024-08-21,18.6876
39,vinegar_1,0.543,0.445746103157105,0.0,vinegar,2024-08-21,18.2178
40,vinegar_1,0.629,0.557331243879846,0.0,vinegar,2024-08-21,19.1052
41,vinegar_2,0.199,0.100660847384592,100.0,vinegar,2024-08-21,14.5638
42,vinegar_2,0.285,0.222983686094074,102.7,vinegar,2024-08-21,18.0438
43,vinegar_2,0.426,0.390613393526442,0.0,vinegar,2024-08-21,17.1042
44,vinegar_2,0.61,0.606285054394722,0.0,vinegar,2024-08-21,16.3038
45,water_1,0.353,0.215500628051691,13.305,water,2024-08-21,12.7368
46,water_1,0.368,0.363010623611438,0.0,water,2024-08-21,11.8668
47,water_1,0.528,0.465724715261366,0.0,water,2024-08-21,14.0244
48,water_1,0.627,0.743140761559854,0.0,water,2024-08-21,13.2762
49,water_1,0.798,1.05597823375749,0.0,water,2024-08-21,11.31
50,water_2,0.583,0.445399347665689,0.0,water,2024-08-21,17.6958
51,water_2,0.726,0.807747762499322,0.0,water,2024-08-21,16.8954
52,gw20-1,0.519,0.438187095057449,0.0,gw20,2024-09-27,17.6784
53,gw20-1,0.749,0.806324549062506,0.0,gw20,2024-09-27,16.912799999999997
54,gw20-2,0.168,0.194383599391384,100.0,gw20,2024-09-27,12.8586
55,gw20-2,0.21,0.31589250096286,104.8,gw20,2024-09-27,12.510599999999998
56,gw20-2,0.234,0.343924810935398,104.7,gw20,2024-09-27,14.598599999999998
57,gw40-2,0.306,0.375269763379207,0.0,gw40,2024-10-11,16.495199999999997
58,gw40-2,0.313,0.403629585809799,0.0,gw40,2024-10-11,15.9732
59,gw40-2,0.391,0.246485259929563,9.5,gw40,2024-10-11,16.147199999999998
60,gw40-2,0.477,0.530154380079032,0.0,gw40,2024-10-11,15.1902
61,gw40-3,0.364,0.34465753885101,0.0,gw40,2024-10-11,19.6446
62,gw40-3,0.383,0.404262975121595,0.0,gw40,2024-10-11,21.5238
63,gw40-3,0.473,0.343920592272642,0.0,gw40,2024-10-11,19.5228
64,gw40-3,0.626,0.57997621987379,0.0,gw40,2024-10-11,19.4532
65,gw60-10,0.182,0.117,100.0,gw60,2024-10-18,15.573
66,gw60-11,0.238,0.235,117.0,gw60,2024-10-18,21.1062
67,gw60-11,0.384,0.362,19.0,gw60,2024-10-18,22.393799999999995
68,gw60-1,0.113,0.098,100.5,gw60,2024-10-18,16.1298
69,gw60-1,0.249,0.349,36.909,gw60,2024-10-18,15.9732
70,gw60-2,0.196,0.162,106.3,gw60,2024-10-18,20.4102
71,gw60-2,0.239,0.342,54.995,gw60,2024-10-18,20.0622
72,gw60-3,0.166,0.105,111.6,gw60,2024-10-18,18.705
73,gw60-3,0.264,0.3,66.689,gw60,2024-10-18,19.053
74,gw60-4,0.223,0.14,106.3,gw60,2024-10-18,19.0878
75,gw60-4,0.292,0.293,19.452,gw60,2024-10-18,19.9926
76,gw60-5.5,0.312,0.277,127.9,gw60,2024-10-18,16.373399999999997
77,gw60-5,0.221,0.118,100.0,gw60,2024-10-18,22.3068
78,gw60-5,0.393,0.35,16.832,gw60,2024-10-18,22.6374
79,gw60-6,0.196,0.168,106.2,gw60,2024-10-18,18.879
80,gw60-6,0.3,0.28,106.2,gw60,2024-10-18,21.4716
81,gw60-7,0.081,0.108,111.2,gw60,2024-10-18,16.790999999999997
82,gw60-7,0.247,0.239,100.3,gw60,2024-10-18,18.1134
83,gw60-7,0.341,0.363,7.545,gw60,2024-10-18,18.6702
84,gw60-8,0.294,0.262,111.6,gw60,2024-10-18,20.097
85,gw60-9,0.214,0.186,100.5,gw60,2024-10-18,20.8452
86,gw60-9,0.355,0.349,9.757,gw60,2024-10-18,20.967
87,gw80-10,0.251,0.287,106.5,gw80,2024-10-25,13.659
88,gw80-11,0.375,0.31,111.8,gw80,2024-10-25,21.976199999999995
89,gw80-13,0.415,0.257,111.4,gw80,2024-10-25,16.4778
90,gw80-15,0.27,0.205,110.7,gw80,2024-10-25,15.259799999999998
91,gw80-15,0.37,0.368,8.244,gw80,2024-10-25,13.9374
92,gw80-1,0.26,0.267,110.6,gw80,2024-10-25,15.259799999999998
93,gw80-1,0.366,0.343,27.562,gw80,2024-10-25,15.5034
94,gw80-4,0.311,0.254,116.2,gw80,2024-10-25,15.224999999999998
95,gw80-5,0.367,0.301,112.0,gw80,2024-10-25,17.6958
96,gw80-6,0.232,0.198,105.4,gw80,2024-10-25,11.8842
97,gw80-6,0.471,0.368,18.921,gw80,2024-10-25,15.747
98,gw80-8,0.303,0.228,122.5,gw80,2024-10-25,13.0674
99,gw80-10,0.305,0.4,12.247,gw80,2024-10-25,14.7726
100,beet-10,0.277,0.219815391970982,120.4,beet,2024-11-12,22.184999999999995
101,beet-10,0.333,0.322459645017291,13.367,beet,2024-11-12,22.4286
102,beet-10,0.354,0.39632971839302,3.325,beet,2024-11-12,21.8892
103,beet-10,0.405,0.413815676146841,2.422,beet,2024-11-12,22.5156
104,beet-11,0.287,0.199177697534358,100.0,beet,2024-11-12,24.6732
105,beet-11,0.314,0.314441387883013,12.834,beet,2024-11-12,26.6568
